topic,term,beta,decade
1,literacy,0.022358985283838104,d3_1990-1999
1,children,0.017101204933662496,d3_1990-1999
1,school,0.014650782958967165,d3_1990-1999
1,parents,0.010791300362245631,d3_1990-1999
1,home,0.00863137291813434,d3_1990-1999
1,students,0.008006932996474859,d3_1990-1999
1,family,0.006775468207725079,d3_1990-1999
1,writing,0.006338625424802986,d3_1990-1999
1,social,0.006117745248764918,d3_1990-1999
1,reading,0.005645565060239582,d3_1990-1999
1,language,0.005569904925166456,d3_1990-1999
1,child,0.005388530531402314,d3_1990-1999
1,learning,0.005321554864457634,d3_1990-1999
1,classroom,0.005274276881353937,d3_1990-1999
1,read,0.004727296946097681,d3_1990-1999
1,class,0.004375546072210965,d3_1990-1999
1,english,0.00421644504820899,d3_1990-1999
1,study,0.0038169460224221647,d3_1990-1999
1,teachers,0.0035366692133451116,d3_1990-1999
1,own,0.003500533616921208,d3_1990-1999
1,families,0.003167630326435499,d3_1990-1999
1,mother,0.003161012998417073,d3_1990-1999
1,development,0.003142442592737652,d3_1990-1999
1,help,0.003132763278359559,d3_1990-1999
1,experiences,0.0031314214483566974,d3_1990-1999
1,research,0.0030786410092036396,d3_1990-1999
1,cultural,0.003029544941409886,d3_1990-1999
1,parent,0.0030218621854434286,d3_1990-1999
1,activities,0.0030069631948468176,d3_1990-1999
1,time,0.002944259050898125,d3_1990-1999
2,literacy,0.011616414239642358,d3_1990-1999
2,social,0.007410071123867785,d3_1990-1999
2,education,0.006534165340873341,d3_1990-1999
2,research,0.005460132339217482,d3_1990-1999
2,children,0.005446337612319687,d3_1990-1999
2,school,0.005321239864550771,d3_1990-1999
2,american,0.004923996311119896,d3_1990-1999
2,critical,0.0047113930310094775,d3_1990-1999
2,cultural,0.004348782267400438,d3_1990-1999
2,practices,0.004071245854345509,d3_1990-1999
2,class,0.0037487131357734358,d3_1990-1999
2,york,0.00366950521181964,d3_1990-1999
2,schools,0.0036253489260057252,d3_1990-1999
2,educational,0.0035032429161499967,d3_1990-1999
2,gender,0.0034462290985063865,d3_1990-1999
2,press,0.0034444472214017097,d3_1990-1999
2,power,0.0033792093021162554,d3_1990-1999
2,own,0.0030092958010610143,d3_1990-1999
2,standards,0.0030009117609607703,d3_1990-1999
2,people,0.0027919687464938578,d3_1990-1999
2,african,0.0027891596417087146,d3_1990-1999
