topic,term,beta,decade,topic_name
1,words,0.023273602,d4_2000-2009,Phonics and word recognition/decoding
1,word,0.019437286,d4_2000-2009,Phonics and word recognition/decoding
1,reading,0.018028839,d4_2000-2009,Phonics and word recognition/decoding
1,spelling,0.008438996,d4_2000-2009,Phonics and word recognition/decoding
1,children,0.007795536,d4_2000-2009,Phonics and word recognition/decoding
1,text,0.007456831,d4_2000-2009,Phonics and word recognition/decoding
1,study,0.0064842,d4_2000-2009,Phonics and word recognition/decoding
1,awareness,0.006348461,d4_2000-2009,Phonics and word recognition/decoding
1,read,0.005511516,d4_2000-2009,Phonics and word recognition/decoding
1,readers,0.005387155,d4_2000-2009,Phonics and word recognition/decoding
1,phonological,0.005326719,d4_2000-2009,Phonics and word recognition/decoding
1,phoneme,0.005247609,d4_2000-2009,Phonics and word recognition/decoding
1,research,0.005077248,d4_2000-2009,Phonics and word recognition/decoding
1,sound,0.004984759,d4_2000-2009,Phonics and word recognition/decoding
1,letter,0.004761433,d4_2000-2009,Phonics and word recognition/decoding
1,learning,0.004310465,d4_2000-2009,Phonics and word recognition/decoding
1,instruction,0.004159705,d4_2000-2009,Phonics and word recognition/decoding
1,beginning,0.003727804,d4_2000-2009,Phonics and word recognition/decoding
1,decodable,0.003413904,d4_2000-2009,Phonics and word recognition/decoding
1,language,0.003335231,d4_2000-2009,Phonics and word recognition/decoding
1,knowledge,0.003260888,d4_2000-2009,Phonics and word recognition/decoding
1,letters,0.002862568,d4_2000-2009,Phonics and word recognition/decoding
1,sounds,0.002857762,d4_2000-2009,Phonics and word recognition/decoding
1,reader,0.002857571,d4_2000-2009,Phonics and word recognition/decoding
1,phonemes,0.002700061,d4_2000-2009,Phonics and word recognition/decoding
1,students,0.002681902,d4_2000-2009,Phonics and word recognition/decoding
1,level,0.002557854,d4_2000-2009,Phonics and word recognition/decoding
1,texts,0.002556268,d4_2000-2009,Phonics and word recognition/decoding
1,using,0.002468097,d4_2000-2009,Phonics and word recognition/decoding
1,analysis,0.00243753,d4_2000-2009,Phonics and word recognition/decoding
2,literacy,0.011296198,d4_2000-2009,Literacy as social practice
2,students,0.009268258,d4_2000-2009,Literacy as social practice
2,social,0.008854785,d4_2000-2009,Literacy as social practice
2,school,0.008331961,d4_2000-2009,Literacy as social practice
2,practices,0.007772145,d4_2000-2009,Literacy as social practice
2,class,0.007457298,d4_2000-2009,Literacy as social practice
2,language,0.006321177,d4_2000-2009,Literacy as social practice
2,cultural,0.005391923,d4_2000-2009,Literacy as social practice
2,discourse,0.005248427,d4_2000-2009,Literacy as social practice
2,classroom,0.004976712,d4_2000-2009,Literacy as social practice
2,english,0.004783427,d4_2000-2009,Literacy as social practice
2,research,0.00465898,d4_2000-2009,Literacy as social practice
2,girls,0.004537816,d4_2000-2009,Literacy as social practice
2,reading,0.004121601,d4_2000-2009,Literacy as social practice
2,discourses,0.003921067,d4_2000-2009,Literacy as social practice
2,identity,0.003843654,d4_2000-2009,Literacy as social practice
2,community,0.003835523,d4_2000-2009,Literacy as social practice
2,power,0.003681002,d4_2000-2009,Literacy as social practice
2,space,0.003533099,d4_2000-2009,Literacy as social practice
2,time,0.00348949,d4_2000-2009,Literacy as social practice
2,writing,0.003366929,d4_2000-2009,Literacy as social practice
2,study,0.003308803,d4_2000-2009,Literacy as social practice
2,boys,0.00322727,d4_2000-2009,Literacy as social practice
2,people,0.003202754,d4_2000-2009,Literacy as social practice
2,read,0.003154958,d4_2000-2009,Literacy as social practice
2,analysis,0.003113872,d4_2000-2009,Literacy as social practice
2,critical,0.003036374,d4_2000-2009,Literacy as social practice
2,press,0.002921581,d4_2000-2009,Literacy as social practice
2,york,0.002660551,d4_2000-2009,Literacy as social practice
2,participants,0.002630807,d4_2000-2009,Literacy as social practice
3,students,0.013866353,d4_2000-2009,Classroom interaction
3,discussion,0.011323837,d4_2000-2009,Classroom interaction
3,literature,0.008605563,d4_2000-2009,Classroom interaction
3,teacher,0.005694132,d4_2000-2009,Classroom interaction
3,discussions,0.005637747,d4_2000-2009,Classroom interaction
3,reading,0.005509599,d4_2000-2009,Classroom interaction
3,social,0.004777215,d4_2000-2009,Classroom interaction
3,response,0.004753033,d4_2000-2009,Classroom interaction
3,classroom,0.004615594,d4_2000-2009,Classroom interaction
3,text,0.004538327,d4_2000-2009,Classroom interaction
3,student,0.004353135,d4_2000-2009,Classroom interaction
3,class,0.004133915,d4_2000-2009,Classroom interaction
3,teachers,0.003885138,d4_2000-2009,Classroom interaction
3,study,0.003840804,d4_2000-2009,Classroom interaction
